;papel;tipo;empresa;setor;cotacao;dt_ult_cotacao;min_52_sem;max_52_sem;vol_med;valor_mercado;valor_firma;ult_balanco_pro;nr_acoes;os_dia;pl;lpa;pvp;vpa;p_ebit;marg_bruta;psr;marg_ebit;p_ativo;marg_liquida;p_cap_giro;ebit_ativo;p_ativo_circ_liq;roic;div_yield;roe;ev_ebitda;liquidez_corr;ev_ebit;cres_rec;ativo;disponibilidades;ativo_circulante;divd_bruta;divd_liquida;patr_liquido;lucro_liquido_12m;lucro_liquido_3m
158;DASA3;ON;DIAGNOSTICOS DA AMERICA SA ON;Serv.Méd.Hospit. Análises e Diagnósticos;28,05;03/02/2022;28,05;168,78;12.238.200;15.724.200.000;18.884.600.000;30/09/2021;560578000;-1.92;-434.04;-0.06;2.12;13.23;99.75;31.0;1.58;1.6;0.86;-0.3;19.24;0.9;-2.99;1.0;1.0;-0.5;17.90;1.17;119.80;30.4;18.386.200.000;2.211.540.000;5.673.840.000;5.371.960.000;3.160.430.000;7.418.660.000;-36.228.000;73.602.000
159;DESK3;ON NM;DESKTOPSIGMA ON NM;Telecomunicações;17,80;03/02/2022;13,51;26,45;5.982.880;1.548.040.000;1.346.120.000;30/09/2021;86968700;-2.89;0.00;0.00;1.78;9.99;0;0;0;0;1.08;0;3.05;0.0;14.21;0;0.0;0;0;4.14;0;0;1.437.660.000;591.856.000;669.084.000;389.931.000;-201.925.000;868.497.000;0;9.558.000
160;DIRR3;ON NM;Direcional Engenharia ON NM;Construção Civil;13,90;03/02/2022;9,54;15,02;22.136.600;2.085.000.000;2.387.450.000;30/09/2021;150000000;1.53;13.40;1.04;1.72;8.10;6.70;36.3;1.22;18.1;0.38;11.7;1.05;5.6;-1.27;6.9;5.1;12.8;6.62;4.68;7.68;20.5;5.520.930.000;934.763.000;2.521.400.000;1.237.210.000;302.449.000;1.214.780.000;155.552.000;47.184.000
161;DMMO3;ON;DOMMO ON;Petróleo, Gás e Biocombustíveis;1,02;03/02/2022;0,44;1,10;9.171.460;519.879.000;505.429.000;30/09/2021;509685000;7.37;3.86;0.26;-0.75;-1.36;9.60;54.9;3.28;34.2;2.39;85.0;-4.32;24.9;-0.63;38.4;0.0;-19.5;6.37;0.41;9.33;-19.0;217.615.000;14.648.000;84.439.000;198.000;-14.450.000;-690.833.000;134.639.000;-74.677.000
162;DMVF3;ON NM;D1000VFARMA ON NM;Comércio e Distribuição;4,18;03/02/2022;3,78;11,91;414.483;211.521.000;156.825.000;30/09/2021;50603000;-4.57;42.21;0.10;0.26;16.27;2.56;32.8;0.19;7.6;0.14;0.5;3.14;5.6;-0.92;7.0;0.0;0.6;0.92;1.20;1.90;0;1.463.500.000;116.941.000;409.288.000;62.245.000;-54.696.000;823.207.000;5.011.000;-1.558.000
163;DOHL3;ON;DOHLER ON;Tecidos, Vestuário e Calçados;19,00;08/12/2021;17,51;33,18;93;1.437.260.000;1.434.290.000;30/09/2021;75645000;0.00;10.58;1.80;2.05;9.28;14.92;32.7;2.09;14.0;1.56;19.8;3.72;10.4;5.25;11.4;1.0;19.3;12.95;4.53;14.88;8.8;923.706.000;50.585.000;495.293.000;47.621.000;-2.964.000;702.237.000;135.866.000;28.598.000
164;DOHL4;PN;DOHLER PN;Tecidos, Vestuário e Calçados;5,95;03/02/2022;4,80;7,16;27.847;450.088.000;447.124.000;30/09/2021;75645000;-1.49;3.31;1.80;0.64;9.28;4.67;32.7;0.66;14.0;0.49;19.8;1.17;10.4;1.64;11.4;3.4;19.3;4.04;4.53;4.64;8.8;923.706.000;50.585.000;495.293.000;47.621.000;-2.964.000;702.237.000;135.866.000;28.598.000
165;DOTZ3;ON NM;DOTZ SA ON NM;Diversos;3,07;03/02/2022;2,40;17,15;332.869;405.450.000;126.699.000;30/09/2021;132068000;0.33;0.00;0.00;-7.81;-0.39;0;0;0;0;1.01;0;14.50;0.0;-3.62;0;0.0;0;0;1.09;0;0;401.944.000;305.271.000;341.966.000;26.520.000;-278.751.000;-51.891.000;0;-24.073.000
166;DTCY3;ON;DTCOM ON;Serviços Diversos;7,55;28/01/2022;7,07;12,10;351;84.039.000;83.615.000;30/09/2021;11131000;0.00;-19.01;-0.40;54.01;0.14;-35.94;24.9;7.76;-21.6;4.47;-40.8;-30.95;-12.4;-8.06;-14.3;0.0;-284.1;44.71;0.72;-35.76;-8.5;18.799.000;2.303.000;6.814.000;1.879.000;-424.000;1.556.000;-4.421.000;-979.000
167;EALT3;ON;ELECTRO AÇO ALTONA S/A ON;Máquinas e Equipamentos;10,79;01/02/2022;9,20;19,67;2.001;242.775.000;334.667.000;30/09/2021;22500000;0.00;8.23;1.31;1.25;8.64;7.06;24.4;0.72;10.2;0.50;8.7;6.71;7.2;-3.52;8.1;10.6;15.2;7.25;1.20;9.73;19.0;481.008.000;25.871.000;217.605.000;117.763.000;91.892.000;194.506.000;29.510.000;12.281.000
168;EALT4;PN;ELECTRO AÇO ALTONA S/A PN;Máquinas e Equipamentos;7,30;03/02/2022;3,93;7,55;289.120;164.250.000;256.142.000;30/09/2021;22500000;-3.31;5.57;1.31;0.84;8.64;4.77;24.4;0.49;10.2;0.34;8.7;4.54;7.2;-2.38;8.1;17.3;15.2;5.55;1.20;7.44;19.0;481.008.000;25.871.000;217.605.000;117.763.000;91.892.000;194.506.000;29.510.000;12.281.000
169;ECOR3;ON NM;ECORODOVIAS ON NM;Transporte;7,68;03/02/2022;6,94;13,43;47.668.600;5.347.850.000;12.852.800.000;30/09/2021;696334000;1.05;-19.65;-0.39;2.53;3.03;2.83;41.0;1.21;42.6;0.31;-6.2;-3.80;11.0;-0.51;13.8;0.0;-12.9;5.08;0.76;6.81;10.8;17.215.200.000;3.374.870.000;4.379.220.000;10.879.800.000;7.504.940.000;2.109.920.000;-272.125.000;143.273.000
170;EEEL3;ON N1;CEEE ON N1;Energia Elétrica;400,00;04/01/2022;236,29;400,00;952;3.863.200.000;3.955.630.000;30/09/2021;9658000;0.00;8.79;45.52;2.03;197.40;9.74;46.0;3.26;33.5;0.87;36.1;3.30;8.9;-3.91;10.4;7.6;23.1;9.45;4.24;9.98;2.3;4.440.130.000;589.168.000;1.530.570.000;681.599.000;92.431.000;1.906.490.000;439.656.000;81.035.000
171;EEEL4;PN N1;CEEE PN N1;Energia Elétrica;399,00;21/01/2022;288,90;399,00;950;3.853.540.000;3.945.970.000;30/09/2021;9658000;0.00;8.76;45.52;2.02;197.40;9.72;46.0;3.25;33.5;0.87;36.1;3.30;8.9;-3.90;10.4;8.4;23.1;9.43;4.24;9.95;2.3;4.440.130.000;589.168.000;1.530.570.000;681.599.000;92.431.000;1.906.490.000;439.656.000;81.035.000
172;EGIE3;ON; ENGIE BRASIL ON;Energia Elétrica;41,15;03/02/2022;36,10;43,83;46.218.200;33.575.400.000;48.186.300.000;30/09/2021;815928000;1.86;13.34;3.08;4.26;9.66;5.75;45.5;2.48;43.1;0.86;18.6;12.43;15.0;-1.50;17.6;4.3;31.9;7.12;1.46;8.26;18.7;38.840.700.000;4.639.450.000;8.598.380.000;19.250.300.000;14.610.800.000;7.882.900.000;2.516.400.000;638.700.000
173;EKTR3;ON;ELEKTRO ELETRICIDADE E SERVIÇOS S.A. ON;Energia Elétrica;33,73;28/01/2022;32,51;45,61;404;6.535.490.000;10.160.500.000;30/09/2021;193759000;0.00;8.58;3.93;2.26;14.94;5.13;19.1;0.80;15.6;0.62;9.3;24.85;12.0;-1.54;14.6;8.6;26.3;6.51;1.08;7.97;11.6;10.596.000.000;930.000.000;3.450.000.000;4.555.000.000;3.625.000.000;2.895.000.000;761.300.000;185.000.000
174;EKTR4;PN;ELEKTRO ELETRICIDADE E SERVIÇOS S.A. PN;Energia Elétrica;26,90;03/02/2022;20,21;30,92;13.896;5.212.120.000;8.837.120.000;30/09/2021;193759000;7.60;6.85;3.93;1.80;14.94;4.09;19.1;0.64;15.6;0.49;9.3;19.82;12.0;-1.23;14.6;11.9;26.3;5.66;1.08;6.93;11.6;10.596.000.000;930.000.000;3.450.000.000;4.555.000.000;3.625.000.000;2.895.000.000;761.300.000;185.000.000
175;ELET3;ON;ELETROBRÁS ON;Energia Elétrica;34,34;03/02/2022;28,15;47,57;175.000.000;53.877.100.000;78.649.400.000;30/09/2021;1568930000;1.36;8.39;4.09;0.71;48.52;-15.31;65.9;1.81;-11.8;0.28;21.8;2.90;-1.8;-0.75;-2.1;2.8;8.4;-47.73;1.70;-22.35;-7.4;193.255.000.000;24.326.200.000;45.209.100.000;49.098.500.000;24.772.300.000;76.128.500.000;6.422.970.000;923.845.000
176;ELET5;PNA;ELETROBRÁS PNA;Energia Elétrica;64,50;27/12/2021;58,17;80,50;154;101.196.000.000;125.968.000.000;30/09/2021;1568930000;0.00;15.76;4.09;1.33;48.52;-28.75;65.9;3.40;-11.8;0.52;21.8;5.44;-1.8;-1.41;-2.1;0.0;8.4;-76.44;1.70;-35.79;-7.4;193.255.000.000;24.326.200.000;45.209.100.000;49.098.500.000;24.772.300.000;76.128.500.000;6.422.970.000;923.845.000
177;ELET6;PNB;ELETROBRÁS PNB;Energia Elétrica;33,45;03/02/2022;28,41;47,42;86.748.100;52.480.700.000;77.253.000.000;30/09/2021;1568930000;1.98;8.17;4.09;0.69;48.52;-14.91;65.9;1.77;-11.8;0.27;21.8;2.82;-1.8;-0.73;-2.1;3.2;8.4;-46.88;1.70;-21.95;-7.4;193.255.000.000;24.326.200.000;45.209.100.000;49.098.500.000;24.772.300.000;76.128.500.000;6.422.970.000;923.845.000
178;ELMD3;ON NM;ELETROMIDIA ON NM;Mídia;13,72;03/02/2022;9,50;22,79;1.753.740;1.909.070.000;1.924.290.000;30/09/2021;139145000;-5.38;-50.55;-0.27;2.54;5.40;-63.43;38.1;5.49;-8.7;1.22;-10.9;4.91;-1.9;-15.92;-3.3;0.0;-5.0;48.89;2.29;-63.93;0;1.560.090.000;579.128.000;689.416.000;594.348.000;15.220.000;750.727.000;-37.766.000;6.473.000
179;EMAE4;PN;EMAE PN;Energia Elétrica;49,95;03/02/2022;48,03;97,11;548.608;1.845.500.000;1.550.560.000;30/09/2021;36947000;3.37;7.43;6.72;2.29;21.84;10.27;48.5;3.71;36.1;1.17;49.9;4.49;11.4;-8.01;14.2;3.7;30.8;8.36;4.29;8.63;28.1;1.573.190.000;294.939.000;535.772.000;0;-294.939.000;807.010.000;248.258.000;32.118.000
180;EMBR3;ON;EMBRAER ON;Material de Transporte;19,12;03/02/2022;9,45;26,05;227.386.000;14.157.700.000;24.249.000.000;30/09/2021;740465000;-4.35;-48.25;-0.40;0.96;19.83;7.19;15.3;0.54;7.5;0.25;-1.1;0.85;3.5;-1.67;4.9;0.0;-2.0;7.66;2.04;12.31;2.4;56.475.700.000;13.338.000.000;32.744.300.000;23.429.300.000;10.091.300.000;14.686.800.000;-293.454.000;-234.300.000
181;ENAT3;ON;ENAUTA PART ON;Petróleo, Gás e Biocombustíveis;15,55;03/02/2022;11,66;18,71;17.623.800;4.133.300.000;2.626.340.000;30/09/2021;265807000;0.32;5.22;2.98;1.19;13.04;11.30;34.4;3.17;28.0;0.71;60.7;2.02;6.3;7.46;11.3;1.2;22.8;2.57;3.47;7.18;30.7;5.795.120.000;2.418.840.000;2.881.940.000;911.878.000;-1.506.960.000;3.467.240.000;791.935.000;133.953.000
182;ENBR3;ON;EDP ENERGIAS DO BRASIL S/A ON;Energia Elétrica;21,21;03/02/2022;16,39;21,64;68.832.300;12.326.500.000;20.420.300.000;30/09/2021;581165000;0.90;6.01;3.53;1.12;18.92;3.25;24.1;0.66;20.4;0.37;12.4;18.13;11.3;-1.02;12.8;7.5;18.6;4.55;1.08;5.39;10.7;33.562.500.000;1.797.260.000;9.281.150.000;9.891.060.000;8.093.800.000;10.996.900.000;2.050.760.000;510.518.000
183;ENEV3;ON;ENEVA ON;Energia Elétrica;13,36;03/02/2022;11,93;18,61;89.485.400;16.918.300.000;22.646.200.000;30/09/2021;1266340000;1.06;12.35;1.08;1.97;6.77;13.09;39.0;3.63;27.7;0.95;29.4;8.64;7.2;-2.86;8.6;0.0;16.0;12.03;2.39;17.52;13.0;17.846.300.000;2.020.660.000;3.364.740.000;7.748.540.000;5.727.880.000;8.575.330.000;1.370.390.000;362.619.000
184;ENGI11;UNT N2;ENERGISA UNT N2;Energia Elétrica;43,98;03/02/2022;37,33;46,82;71.659.200;15.960.900.000;32.546.100.000;30/09/2021;1814560000;1.10;6.55;6.71;1.82;24.11;3.54;21.1;0.62;17.6;0.31;10.5;5.23;8.7;-0.57;10.1;9.0;27.8;5.66;1.28;7.23;16.8;51.692.700.000;4.384.540.000;13.971.800.000;20.969.800.000;16.585.200.000;8.748.260.000;2.435.570.000;796.450.000
185;ENGI3;ON;ENERGISA ON;Energia Elétrica;14,40;03/02/2022;12,31;18,41;139.504;26.129.700.000;42.714.900.000;30/09/2021;1814560000;1.62;10.73;1.34;2.99;4.82;5.80;21.1;1.02;17.6;0.51;10.5;8.56;8.7;-0.94;10.1;5.5;27.8;7.43;1.28;9.49;16.8;51.692.700.000;4.384.540.000;13.971.800.000;20.969.800.000;16.585.200.000;8.748.260.000;2.435.570.000;796.450.000
186;ENGI4;PN;ENERGISA PN;Energia Elétrica;7,42;03/02/2022;5,98;7,42;265.188;13.464.100.000;30.049.300.000;30/09/2021;1814560000;2.20;5.53;1.34;1.54;4.82;2.99;21.1;0.53;17.6;0.26;10.5;4.41;8.7;-0.48;10.1;10.6;27.8;5.23;1.28;6.67;16.8;51.692.700.000;4.384.540.000;13.971.800.000;20.969.800.000;16.585.200.000;8.748.260.000;2.435.570.000;796.450.000
187;ENJU3;ON NM;ENJOEI ON NM;Programas e Serviços;2,95;03/02/2022;2,34;20,90;8.767.150;583.675.000;163.854.000;30/09/2021;197856000;-1.01;-5.62;-0.53;1.29;2.28;-5.11;27.9;5.55;-108.6;1.18;-98.8;1.42;-23.1;1.45;-188.2;0.0;-23.0;-1.55;12.44;-1.43;0;495.670.000;419.821.000;448.450.000;0;-419.821.000;450.931.000;-103.927.000;-23.256.000
188;ENMT3;ON;ENERGISA MT ON;Energia Elétrica;78,70;03/02/2022;26,94;81,20;313.896;17.230.700.000;21.138.300.000;30/09/2021;218942000;1.21;14.93;5.27;6.18;12.73;9.87;28.4;2.51;25.4;1.56;16.8;30.89;15.8;-3.30;17.7;7.0;41.4;10.59;1.23;12.11;13.5;11.040.400.000;448.853.000;3.030.980.000;4.356.390.000;3.907.540.000;2.788.090.000;1.153.980.000;262.304.000
189;ENMT4;ON;ENERGISA MT ON;Energia Elétrica;81,79;20/01/2022;30,29;81,79;2.100;17.907.300.000;21.814.800.000;30/09/2021;218942000;0.00;15.52;5.27;6.42;12.73;10.26;28.4;2.61;25.4;1.62;16.8;32.11;15.8;-3.43;17.7;6.0;41.4;10.93;1.23;12.50;13.5;11.040.400.000;448.853.000;3.030.980.000;4.356.390.000;3.907.540.000;2.788.090.000;1.153.980.000;262.304.000
190;EQMA3B;ON MB;CEMAR ON MB;Energia Elétrica;40,70;02/02/2022;37,87;44,19;55.890;6.682.290.000;7.846.010.000;30/09/2021;164184000;0.00;7.91;5.14;2.14;19.00;5.67;31.8;1.33;23.4;0.88;16.8;7.35;15.4;-4.24;19.7;11.3;27.1;5.66;1.45;6.66;9.4;7.635.650.000;1.037.900.000;2.939.770.000;2.201.620.000;1.163.720.000;3.119.880.000;844.643.000;215.194.000
191;EQPA3;ON;EQTL PARA ON;Energia Elétrica;5,60;03/02/2022;2,98;5,82;41.545;12.370.800.000;14.469.900.000;30/09/2021;2209070000;0.00;13.16;0.43;3.43;1.63;7.08;29.1;1.66;23.5;0.97;12.6;6.04;13.7;-3.56;18.9;5.5;26.1;6.95;1.56;8.28;8.4;12.794.300.000;2.601.430.000;5.716.610.000;4.700.550.000;2.099.120.000;3.607.190.000;939.845.000;376.681.000
192;EQPA5;PNA;EQTL PARA PNA;Energia Elétrica;7,30;24/01/2022;4,60;9,37;5.877;16.126.200.000;18.225.400.000;30/09/2021;2209070000;0.00;17.16;0.43;4.47;1.63;9.23;29.1;2.17;23.5;1.26;12.6;7.88;13.7;-4.65;18.9;4.2;26.1;8.75;1.56;10.43;8.4;12.794.300.000;2.601.430.000;5.716.610.000;4.700.550.000;2.099.120.000;3.607.190.000;939.845.000;376.681.000
193;EQPA7;PNC;EQTL PARA PNC;Energia Elétrica;6,62;01/02/2022;4,47;9,38;111;14.624.100.000;16.723.200.000;30/09/2021;2209070000;0.00;15.56;0.43;4.05;1.63;8.37;29.1;1.97;23.5;1.14;12.6;7.14;13.7;-4.21;18.9;4.7;26.1;8.03;1.56;9.57;8.4;12.794.300.000;2.601.430.000;5.716.610.000;4.700.550.000;2.099.120.000;3.607.190.000;939.845.000;376.681.000
194;EQTL3;ON NM;EQUATORIAL ENERGIA S.A. ON NM;Energia Elétrica;23,38;03/02/2022;19,30;26,31;131.266.000;23.626.400.000;35.887.100.000;30/09/2021;1010540000;1.96;6.43;3.64;1.98;11.82;4.60;29.9;1.07;23.2;0.43;19.3;3.15;9.2;-1.08;11.9;3.1;30.8;6.10;1.61;6.98;27.7;55.563.800.000;9.620.630.000;19.718.300.000;21.881.300.000;12.260.700.000;11.941.100.000;3.674.800.000;1.410.400.000
195;ESPA3;ON NM;ESPACOLASER ON NM;Comércio;6,08;03/02/2022;5,95;21,50;23.397.000;1.484.950.000;2.104.080.000;30/09/2021;244236000;-2.09;5.41;1.12;2.15;2.83;7.06;50.5;1.97;27.9;0.68;37.4;8.65;9.6;-2.55;11.1;2.3;39.7;7.53;1.23;10.01;0;2.190.520.000;270.858.000;914.471.000;889.989.000;619.131.000;691.061.000;274.671.000;8.116.000
196;ESTR4;PN;ESTRELA PN;Viagens e Lazer;67,18;22/10/2021;26,00;80,80;0;54.281.400;138.204.000;30/09/2021;808000;0.00;-2.81;-23.94;-0.11;-625.57;2.27;47.7;0.31;13.5;0.20;-10.9;-0.11;8.7;-0.09;9.4;0.0;3.8;5.29;0.23;5.77;1.9;274.548.000;1.395.000;151.692.000;85.318.000;83.923.000;-505.460.000;-19.341.000;4.991.000
197;ETER3;ON;ETERNIT ON;Construção e Engenharia;17,21;03/02/2022;10,06;33,45;40.686.800;1.063.180.000;842.210.000;30/09/2021;61777000;-6.11;3.15;5.46;1.97;8.76;3.60;44.6;1.00;27.8;1.09;31.7;2.04;30.3;3.92;44.0;1.4;62.3;2.70;3.81;2.85;9.4;976.837.000;259.344.000;707.065.000;38.372.000;-220.972.000;540.970.000;337.106.000;97.994.000
198;EUCA3;ON;EUCATEX ON;Madeira e Papel;14,30;03/02/2022;11,89;25,64;124.082;1.324.450.000;1.700.830.000;30/09/2021;92619000;-0.35;4.13;3.47;0.74;19.25;3.19;34.4;0.58;18.3;0.42;14.9;3.08;13.2;-9.60;14.8;3.0;18.0;2.97;1.54;4.10;17.5;3.147.110.000;111.094.000;1.226.190.000;487.473.000;376.379.000;1.783.070.000;320.940.000;70.515.000
199;EUCA4;PN;EUCATEX PN;Madeira e Papel;8,92;03/02/2022;6,74;11,67;468.915;826.161.000;1.202.540.000;30/09/2021;92619000;-1.65;2.57;3.47;0.46;19.25;1.99;34.4;0.36;18.3;0.26;14.9;1.92;13.2;-5.99;14.8;5.3;18.0;2.10;1.54;2.90;17.5;3.147.110.000;111.094.000;1.226.190.000;487.473.000;376.379.000;1.783.070.000;320.940.000;70.515.000
200;EVEN3;ON NM;Even ON NM;Construção Civil;7,54;03/02/2022;5,91;11,40;12.380.500;1.598.480.000;835.980.000;30/09/2021;212000000;4.29;15.96;0.47;0.89;8.45;4.34;29.3;0.73;16.8;0.27;6.3;0.70;6.3;1.27;7.9;11.0;5.6;2.22;2.00;2.27;8.0;5.867.100.000;1.113.870.000;4.553.260.000;351.369.000;-762.500.000;1.790.560.000;100.178.000;51.595.000
201;EZTC3;ON NM;EZTec ON NM;Construção Civil;20,45;03/02/2022;17,60;38,15;43.226.100;4.642.150.000;3.630.590.000;30/09/2021;227000000;-0.58;9.33;2.19;1.06;19.34;16.93;45.0;4.45;26.3;0.92;49.6;2.48;5.4;2.86;6.9;2.1;11.3;13.06;6.45;13.24;11.4;5.059.990.000;1.030.150.000;2.212.810.000;18.591.000;-1.011.560.000;4.389.920.000;497.298.000;145.247.000
202;FESA3;ON;FERBASA ON;Siderurgia e Metalurgia;50,00;03/02/2022;32,18;60,43;18.880;4.416.000.000;4.358.570.000;30/09/2021;88320000;0.00;9.95;5.02;2.02;24.75;7.00;37.1;2.03;29.0;1.41;20.4;5.07;20.2;14.32;24.6;1.6;20.3;5.54;3.33;6.91;14.7;3.126.690.000;470.406.000;1.245.420.000;412.972.000;-57.434.000;2.185.840.000;443.794.000;232.969.000
203;FESA4;PN;FERBASA PN;Siderurgia e Metalurgia;47,35;03/02/2022;21,42;58,78;23.940.500;4.181.950.000;4.124.520.000;30/09/2021;88320000;-3.01;9.42;5.02;1.91;24.75;6.63;37.1;1.93;29.0;1.34;20.4;4.80;20.2;13.56;24.6;1.9;20.3;5.24;3.33;6.54;14.7;3.126.690.000;470.406.000;1.245.420.000;412.972.000;-57.434.000;2.185.840.000;443.794.000;232.969.000
204;FHER3;ON NM;Fer Heringer ON NM;Químicos;14,57;03/02/2022;4,02;46,77;23.361.000;784.697.000;1.280.350.000;30/09/2021;53857000;-4.83;2.76;5.28;8.67;1.68;1.58;20.1;0.23;14.4;0.32;8.3;1.43;20.3;-1.00;23.3;0.0;314.4;2.45;1.54;2.58;-14.0;2.444.080.000;10.934.000;1.566.170.000;506.585.000;495.651.000;90.470.000;284.417.000;101.317.000
205;FIQE3;ON NM;UNIFIQUE ON NM;Telecomunicações;6,70;03/02/2022;5,35;8,88;3.203.630;2.425.730.000;1.914.540.000;30/09/2021;362050000;0.30;0.00;0.00;2.46;2.72;0;0;0;0;1.51;0;3.71;0.0;8.35;0;0.0;0;0;3.57;0;0;1.602.420.000;798.726.000;907.783.000;287.531.000;-511.195.000;984.998.000;0;22.171.000
206;FLRY3;ON NM;FLEURY ON NM;Serv.Méd.Hospit. Análises e Diagnósticos;19,41;03/02/2022;15,89;27,51;34.918.500;6.171.290.000;8.234.210.000;30/09/2021;317944000;-0.72;14.74;1.32;3.40;5.71;8.60;30.6;1.63;19.0;1.01;11.1;8.46;11.8;-2.59;14.8;3.7;23.1;7.50;1.62;11.47;10.9;6.105.850.000;964.742.000;1.901.070.000;3.027.660.000;2.062.920.000;1.814.990.000;418.592.000;94.963.000
207;FRAS3;ON;FRAS-LE S.A. ON;Material de Transporte;12,78;03/02/2022;11,10;17,18;3.239.760;2.780.490.000;3.402.710.000;30/09/2021;217566000;4.75;8.75;1.46;2.53;5.04;8.26;29.8;1.12;13.5;0.90;12.7;3.36;10.8;-7.31;14.0;2.3;28.9;7.60;2.05;10.11;29.9;3.103.600.000;349.805.000;1.615.530.000;972.020.000;622.215.000;1.097.400.000;317.626.000;83.719.000
208;FRIO3;ON NM;Metalfrio ON NM;Máquinas e Equipamentos;50,59;27/12/2021;41,00;92,00;120;207.773.000;1.100.050.000;30/09/2021;4107000;0.00;-11.97;-4.22;-1.84;-27.43;3.14;15.5;0.11;3.5;0.12;0.2;-2.55;3.7;-0.38;6.4;0.0;15.4;8.39;0.94;16.62;17.3;1.789.160.000;357.044.000;1.266.470.000;1.249.320.000;892.272.000;-112.663.000;-17.352.000;-37.053.000
209;FRTA3;ON NM;POMIFRUTAS ON NM;Agropecuária;4,89;03/02/2022;4,89;10,75;23.414;10.042.100;71.379.100;30/09/2021;2053610;0.00;-65.63;-0.07;-0.16;-31.53;-37.06;27.6;0.58;-1.6;0.30;-0.9;-0.12;-0.8;-0.11;-1.0;0.0;0.2;-263.39;0.06;-263.39;-27.8;33.970.000;1.022.000;5.474.000;62.359.000;61.337.000;-64.752.000;-153.000;-7.805.000
210;GEPA3;ON;DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA ON;Energia Elétrica;33,00;02/02/2022;31,50;39,70;1.157;3.116.290.000;4.252.910.000;30/09/2021;94433000;0.00;6.44;5.13;1.63;20.22;3.05;83.3;2.41;78.9;0.81;37.4;-5.27;26.5;-1.89;31.3;8.9;25.4;3.79;0.34;4.16;-1.0;3.861.610.000;113.517.000;303.546.000;1.250.140.000;1.136.620.000;1.909.890.000;484.234.000;-13.607.000
211;GEPA4;PN;DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA PN;Energia Elétrica;33,00;03/02/2022;31,51;38,49;13.740;3.116.290.000;4.252.910.000;30/09/2021;94433000;0.00;6.44;5.13;1.63;20.22;3.05;83.3;2.41;78.9;0.81;37.4;-5.27;26.5;-1.89;31.3;8.9;25.4;3.79;0.34;4.16;-1.0;3.861.610.000;113.517.000;303.546.000;1.250.140.000;1.136.620.000;1.909.890.000;484.234.000;-13.607.000
212;GFSA3;ON;GAFISA ON;Construção Civil;2,14;03/02/2022;1,66;5,91;14.000.900;722.134.000;1.457.560.000;30/09/2021;337446000;3.38;11.79;0.18;0.41;5.23;5.83;25.1;0.61;10.5;0.17;5.2;0.42;3.0;1.40;3.5;0.0;3.5;10.48;2.44;11.76;5.9;4.143.860.000;454.154.000;2.894.250.000;1.189.580.000;735.423.000;1.765.520.000;61.241.000;6.187.000
213;GGBR3;ON N1;GERDAU S.A. ON N1;Siderurgia e Metalurgia;22,95;03/02/2022;17,20;27,19;1.184.160;39.466.200.000;48.156.600.000;30/09/2021;1719660000;-1.12;3.04;7.56;0.96;23.89;2.42;26.0;0.56;23.2;0.52;18.5;1.77;21.7;28.33;27.4;13.4;31.6;2.56;2.70;2.95;13.1;75.362.200.000;8.430.580.000;35.456.800.000;17.121.100.000;8.690.470.000;41.083.000.000;12.994.000.000;5.577.820.000
214;GGBR4;PN N1;GERDAU S.A. PN N1;Siderurgia e Metalurgia;28,73;03/02/2022;20,72;33,77;276.713.000;49.405.800.000;58.096.300.000;30/09/2021;1719660000;-0.76;3.80;7.56;1.20;23.89;3.02;26.0;0.70;23.2;0.66;18.5;2.22;21.7;35.47;27.4;10.7;31.6;3.08;2.70;3.56;13.1;75.362.200.000;8.430.580.000;35.456.800.000;17.121.100.000;8.690.470.000;41.083.000.000;12.994.000.000;5.577.820.000
215;GGPS3;ON NM;GPS ON NM;Serviços Diversos;15,71;03/02/2022;11,91;19,76;24.964.400;10.486.300.000;10.478.400.000;30/09/2021;667491000;-4.09;0.00;0.00;4.84;3.25;0;0;0;0;1.89;0;7.26;0.0;-23.12;0;1.2;0;0;1.97;0;0;5.554.120.000;1.359.920.000;2.932.100.000;1.352.010.000;-7.910.020;2.166.720.000;0;99.298.000
216;GMAT3;ON NM;GRUPO MATEUS ON NM;Comércio e Distribuição;5,64;03/02/2022;5,52;8,65;25.203.500;12.460.700.000;12.846.700.000;30/09/2021;2209350000;-4.73;16.63;0.34;2.01;2.81;13.25;23.6;0.83;6.2;1.35;5.0;2.69;10.2;3.81;13.1;0.0;12.1;10.80;3.96;13.66;0;9.205.960.000;959.079.000;6.206.470.000;1.345.020.000;385.939.000;6.197.320.000;749.287.000;209.911.000
217;GNDI3;ON NM;INTERMEDICA ON NM;Serv.Méd.Hospit. Análises e Diagnósticos;71,49;03/02/2022;55,49;98,39;333.094.000;44.342.500.000;46.289.000.000;30/09/2021;620261000;0.89;-3827.92;-0.02;6.23;11.47;92.95;18.5;3.66;3.9;2.54;-0.1;85.05;2.7;-6.63;3.1;0.4;-0.2;54.17;1.17;97.03;25.2;17.466.000.000;1.832.990.000;3.660.280.000;3.779.540.000;1.946.550.000;7.116.080.000;-11.584.000;-90.684.000
